"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8825","Login with invalid Credentials","Google Chrome","Fri Jan 03 15:18:29 IST 2025","passed","Fri Jan 03 15:18:38 IST 2025","","heroKu.spec.js","",""
"","9758","Login with valid Credentials","Google Chrome","Fri Jan 03 15:18:29 IST 2025","failed","Fri Jan 03 15:18:39 IST 2025","","heroKu.spec.js","",""
